ventana,rareza_real,modo,rareza_estimada_hll,umbral_dinamico,segundos_procesamiento,memoria_ram_mb
1,0.0348736097126473,CONTROL,0.1468430645331743,0.22519020950031782,36.66628909111023,74.67578125
2,0.0480871715136998,CONTROL,0.17195248202476116,0.22519020950031782,36.613723278045654,74.67578125
3,0.0460230564354985,CONTROL,0.16839436815695413,0.22519020950031782,35.93332362174988,74.67578125
4,0.0300471694867034,CONTROL,0.09404261309704426,0.22519020950031782,36.06130623817444,74.67578125
5,0.0107313747225686,CONTROL,0.04006957806339143,0.22519020950031782,35.843465089797974,74.67578125
6,0.0008576827457071,CONTROL,0.0005633888563281069,0.22519020950031782,35.92797780036926,74.67578125
7,0.0069598985108854,CONTROL,0.03336873370915924,0.22519020950031782,36.21680212020874,74.67578125
8,0.0249999491579198,CONTROL,0.09878792004564892,0.22519020950031782,36.927942991256714,74.67578125
9,0.0430400334491313,CONTROL,0.14195001090947731,0.22519020950031782,36.7968008518219,74.67578125
10,0.0491423278831822,CONTROL,0.17494663288990212,0.22519020950031782,37.020713329315186,74.67578125
11,0.0392687075416446,CONTROL,0.12790016001028667,0.22519020950031782,35.988614082336426,74.67578125
12,0.019952929975415,CONTROL,0.08185833326858856,0.22519020950031782,36.22372126579285,74.67578125
13,0.0039769944065819,CONTROL,0.015352928967157889,0.22519020950031782,36.74311280250549,74.67578125
14,0.0019127970641663,CONTROL,0.010258409484081066,0.22519020950031782,37.32784605026245,74.67578125
15,0.015126297394249,CONTROL,0.06525974725976226,0.22519020950031782,37.57899355888367,74.67578125
16,0.0348736097126473,CONTROL,0.1179663452184368,0.22519020950031782,37.33321261405945,74.67578125
17,0.0480871715136998,CONTROL,0.1564720238808603,0.22519020950031782,36.91870379447937,74.67578125
18,0.0460230564354985,CONTROL,0.15072075406171426,0.22519020950031782,37.113112688064575,74.67578125
19,0.0300471694867034,CONTROL,0.12291552551607275,0.22519020950031782,37.21017551422119,74.67578125
20,0.0107313747225686,CONTROL,0.03340853033364151,0.22519020950031782,36.61239194869995,74.67578125
21,0.0008576827457071,CONTROL,0.004048340808382025,0.22519020950031782,39.09746527671814,74.67578125
22,0.0069598985108854,CONTROL,0.03203087930308313,0.22519020950031782,37.62458038330078,74.67578125
23,0.0249999491579198,CONTROL,0.0914511818899899,0.22519020950031782,37.13843536376953,74.67578125
24,0.0430400334491313,CONTROL,0.1683086159713899,0.22519020950031782,36.307478189468384,74.67578125
25,0.0491423278831822,CONTROL,0.16836079995451608,0.22519020950031782,36.20307111740112,74.67578125
26,0.0392687075416446,CONTROL,0.12713440929983028,0.22519020950031782,35.893940448760986,74.67578125
27,0.019952929975415,CONTROL,0.08081500597358354,0.22519020950031782,37.00880002975464,74.67578125
28,0.003976994406582,CONTROL,0.014691084774893358,0.22519020950031782,37.51692032814026,74.67578125
29,0.0019127970641663,CONTROL,0.003977056472715163,0.22519020950031782,40.88456058502197,74.67578125
30,0.015126297394249,CONTROL,0.05535483146653276,0.22519020950031782,43.98875141143799,74.67578125
